kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
strean_exp.1.sm_75.ptx 306 : 128 36832 0 0 0 128 4 0 0 
strean_exp.1.sm_75.ptx 356 : 2048 729024 8224 0 0 288 64 0 0 
strean_exp.1.sm_75.ptx 166 : 128 992 0 0 0 0 0 0 0 
strean_exp.1.sm_75.ptx 343 : 2048 6208 0 0 0 0 0 0 0 
strean_exp.1.sm_75.ptx 140 : 128 384 0 0 0 0 0 0 0 
strean_exp.1.sm_75.ptx 267 : 128 1184 0 0 0 0 0 0 0 
strean_exp.1.sm_75.ptx 358 : 2048 12448 0 0 0 0 0 0 0 
strean_exp.1.sm_75.ptx 361 : 2048 12672 0 0 0 0 0 0 0 
strean_exp.1.sm_75.ptx 362 : 2048 18496 0 0 0 0 0 0 0 
strean_exp.1.sm_75.ptx 363 : 2048 18432 0 0 0 0 0 0 0 
strean_exp.1.sm_75.ptx 364 : 2048 8192 0 0 0 128 64 0 0 
strean_exp.1.sm_75.ptx 367 : 2048 10624 0 0 0 0 0 0 0 
strean_exp.1.sm_75.ptx 139 : 128 384 0 0 0 0 0 0 0 
strean_exp.1.sm_75.ptx 266 : 128 1184 0 0 0 0 0 0 0 
strean_exp.1.sm_75.ptx 180 : 128 896 0 0 0 0 0 0 0 
strean_exp.1.sm_75.ptx 307 : 128 1216 0 0 0 0 0 0 0 
strean_exp.1.sm_75.ptx 181 : 128 864 0 0 0 0 0 0 0 
strean_exp.1.sm_75.ptx 308 : 128 1216 0 0 0 0 0 0 0 
strean_exp.1.sm_75.ptx 182 : 128 992 0 0 0 0 0 0 0 
strean_exp.1.sm_75.ptx 309 : 128 1216 0 0 0 0 0 0 0 
strean_exp.1.sm_75.ptx 183 : 128 1088 0 0 0 0 0 0 0 
strean_exp.1.sm_75.ptx 310 : 128 1152 0 0 0 0 0 0 0 
strean_exp.1.sm_75.ptx 184 : 128 1056 0 0 0 0 0 0 0 
strean_exp.1.sm_75.ptx 311 : 128 1152 0 0 0 0 0 0 0 
strean_exp.1.sm_75.ptx 185 : 128 1152 0 0 0 0 0 0 0 
strean_exp.1.sm_75.ptx 312 : 128 1152 0 0 0 0 0 0 0 
strean_exp.1.sm_75.ptx 186 : 128 1152 0 0 0 0 0 0 0 
strean_exp.1.sm_75.ptx 313 : 128 1152 0 0 0 0 0 0 0 
strean_exp.1.sm_75.ptx 187 : 128 1024 0 0 0 0 0 0 0 
strean_exp.1.sm_75.ptx 314 : 128 1344 0 0 0 0 0 0 0 
strean_exp.1.sm_75.ptx 254 : 128 1408 0 0 0 0 0 0 0 
strean_exp.1.sm_75.ptx 255 : 128 992 0 0 0 0 0 0 0 
strean_exp.1.sm_75.ptx 256 : 128 1312 0 0 0 0 0 0 0 
strean_exp.1.sm_75.ptx 257 : 128 928 0 0 0 0 0 0 0 
strean_exp.1.sm_75.ptx 258 : 128 864 0 0 0 0 0 0 0 
strean_exp.1.sm_75.ptx 259 : 128 0 0 0 0 0 0 0 0 
strean_exp.1.sm_75.ptx 261 : 128 1440 0 0 0 0 0 0 0 
strean_exp.1.sm_75.ptx 262 : 128 1024 0 0 0 0 0 0 0 
strean_exp.1.sm_75.ptx 263 : 128 1248 0 0 0 0 0 0 0 
strean_exp.1.sm_75.ptx 264 : 128 928 0 0 0 0 0 0 0 
strean_exp.1.sm_75.ptx 265 : 128 1248 0 0 0 0 0 0 0 
strean_exp.1.sm_75.ptx 298 : 128 864 0 0 0 0 0 0 0 
strean_exp.1.sm_75.ptx 315 : 128 1152 0 0 0 0 0 0 0 
strean_exp.1.sm_75.ptx 316 : 128 1152 0 0 0 0 0 0 0 
strean_exp.1.sm_75.ptx 317 : 128 1152 0 0 0 0 0 0 0 
strean_exp.1.sm_75.ptx 318 : 128 1152 0 0 0 0 0 0 0 
strean_exp.1.sm_75.ptx 319 : 128 1152 0 0 0 0 0 0 0 
strean_exp.1.sm_75.ptx 320 : 128 1152 0 0 0 0 0 0 0 
strean_exp.1.sm_75.ptx 321 : 128 1152 0 0 0 0 0 0 0 
strean_exp.1.sm_75.ptx 322 : 128 1152 0 0 0 0 0 0 0 
strean_exp.1.sm_75.ptx 323 : 128 2464 0 0 0 128 4 0 0 
